cliente_id,recency,frequency,monetary,tiempo_cliente,productos_diferentes,canal_preferido,categoria_favorita,segmento
PREM_0001,14.502669391060024,7.2856848871674345,2157.464501163333,31.85977932194548,20,Online,Gaming,Premium
PREM_0002,14.424517452396339,5.111540812500801,3001.8392582717515,28.40503848732133,7,Online,Smartphones,Premium
PREM_0003,8.295813523154088,7.974069364728757,3226.065544218372,28.739830972408775,16,Online,Gaming,Premium
PREM_0004,7.4091201087,11.779205656293183,2286.8556886721135,19.783505928515225,11,Online,Laptops,Premium
PREM_0005,6.489322528171636,7.124349920169754,3109.021160325196,32.11028760729767,14,Tienda,Smartphones,Premium
PREM_0006,11.33876154178575,7.62564964933498,2841.010750662297,24.724729355427538,13,Online,Laptops,Premium
PREM_0007,4.8460139800780135,9.714609083873269,2551.2809167660653,28.641589700326517,12,Tienda,Smartphones,Premium
PREM_0008,16.841594532546555,8.697528069015542,2575.2870645457183,17.67027109491054,16,Online,Laptops,Premium
PREM_0009,3.8994296533695714,9.372908629538856,2402.928121138967,34.81946667836979,13,Online,Smartphones,Premium
PREM_0010,11.457130470727073,7.412989964654779,2578.930006547982,29.257614840776622,20,Online,Laptops,Premium
PREM_0011,15.78152676035027,11.53281371074575,3026.3777592762453,41.21080789183592,15,Online,Gaming,Premium
PREM_0012,9.27998266352823,8.473188310265455,2631.6070747955077,23.168192644018013,17,Online,Smartphones,Premium
PREM_0013,18.52964521572654,6.139717244078735,2535.9733079818097,29.04592461828873,12,Tienda,Smartphones,Premium
PREM_0014,19.734170517719967,9.827749674501614,3140.6610206545747,29.185453851033195,15,Tienda,Accesorios,Premium
PREM_0015,9.539465288914677,13.222635283232503,3212.1091076595826,28.567779325117968,19,Online,Accesorios,Premium
PREM_0016,10.32596447515827,8.777162446836819,1873.7647583848625,36.93514752161343,15,Tienda,Laptops,Premium
PREM_0017,9.642540972223154,10.69920419404205,3014.2092915790286,22.456723237914765,16,Online,Laptops,Premium
PREM_0018,18.71322203929158,5.2510622502809765,3766.4921856355013,32.22368341621179,8,Tienda,Accesorios,Premium
PREM_0019,18.211439103357304,8.120964249051445,2555.2507883372227,30.09298444777973,19,App,Laptops,Premium
PREM_0020,9.641388573251337,8.403397553672585,2553.2256456041114,35.87218835650472,22,Online,Laptops,Premium
